"Date","Price","Open","High","Low","Vol.","Change %"
"11/03/2020","81.746","81.087","81.870","80.822","35.18K","0.88%"
"11/02/2020","81.031","81.325","81.498","80.916","35.24K","-0.32%"
"10/30/2020","81.293","81.223","81.563","81.147","55.67K","0.08%"
"10/29/2020","81.225","81.479","81.755","81.099","48.94K","-0.28%"
"10/28/2020","81.454","81.030","81.647","80.896","47.51K","0.56%"
"10/27/2020","81.001","81.492","81.619","80.963","37.08K","-0.58%"
"10/26/2020","81.472","81.647","81.717","81.410","41.00K","-0.18%"
"10/23/2020","81.615","81.215","81.757","80.984","50.84K","0.51%"
"10/22/2020","81.204","81.281","81.409","81.076","52.28K","-0.05%"
"10/21/2020","81.243","80.985","81.661","80.924","39.48K","0.36%"
"10/20/2020","80.952","80.642","81.165","80.508","38.29K","0.50%"
"10/19/2020","80.551","80.284","80.686","80.059","28.01K","0.37%"
"10/16/2020","80.251","80.243","80.414","80.028","36.51K","0.03%"
"10/15/2020","80.223","80.165","80.477","80.134","37.64K","0.14%"
"10/14/2020","80.114","80.216","80.397","79.951","35.05K","-0.10%"
"10/13/2020","80.192","80.687","80.730","80.173","33.66K","-0.59%"
"10/12/2020","80.672","80.236","80.744","80.108","32.29K","0.60%"
"10/09/2020","80.187","79.943","80.303","79.766","30.90K","0.34%"
"10/08/2020","79.915","79.938","80.058","79.681","48.42K","0.00%"
"10/07/2020","79.915","80.001","80.183","79.804","38.74K","-0.09%"
"10/06/2020","79.985","79.883","80.427","79.809","41.94K","0.18%"
"10/05/2020","79.841","79.604","80.039","79.590","43.24K","0.43%"
"10/02/2020","79.499","79.662","79.839","79.474","50.13K","-0.20%"
"10/01/2020","79.662","79.889","80.063","79.389","49.25K","-0.24%"
"09/30/2020","79.852","80.213","80.272","79.664","51.57K","-0.43%"
"09/29/2020","80.198","79.781","80.282","79.729","37.22K","0.57%"
"09/28/2020","79.747","79.355","79.855","79.143","44.18K","0.53%"
"09/25/2020","79.326","79.760","79.834","79.260","54.92K","-0.49%"
"09/24/2020","79.720","79.628","80.090","79.550","68.05K","0.15%"
"09/23/2020","79.604","79.965","79.998","79.562","57.42K","-0.37%"
"09/22/2020","79.902","80.433","80.504","79.820","54.77K","-0.66%"
"09/21/2020","80.431","80.692","80.861","80.226","49.78K","-0.25%"
"09/18/2020","80.634","81.041","81.108","80.560","37.45K","-0.45%"
"09/17/2020","80.995","80.872","81.073","80.465","42.35K","0.19%"
"09/16/2020","80.838","81.024","81.273","80.664","42.40K","-0.24%"
"09/15/2020","81.030","80.785","81.395","80.727","35.16K","0.31%"
"09/14/2020","80.777","80.791","81.128","80.604","30.17K","0.00%"
"09/11/2020","80.781","80.650","81.030","80.615","31.69K","0.20%"
"09/10/2020","80.621","80.335","81.073","80.256","41.38K","0.39%"
"09/09/2020","80.311","80.355","80.446","80.021","37.87K","-0.02%"
"09/08/2020","80.327","80.169","80.688","79.955","54.57K","0.22%"
"09/07/2020","80.153","80.275","80.491","79.888","30.14K","-0.08%"
"09/04/2020","80.220","80.702","80.799","79.957","42.02K","-0.58%"
"09/03/2020","80.692","80.471","80.783","80.140","43.37K","0.32%"
"09/02/2020","80.435","80.276","80.493","79.942","44.93K","0.20%"
"09/01/2020","80.275","81.072","81.355","80.215","46.37K","-0.95%"
"08/31/2020","81.042","80.870","81.574","80.755","41.45K","0.23%"
"08/28/2020","80.860","81.294","81.491","80.708","49.86K","-0.51%"
"08/27/2020","81.274","81.752","81.951","81.042","49.00K","-0.51%"
"08/26/2020","81.692","81.775","81.869","81.474","40.58K","-0.05%"
"08/25/2020","81.729","81.317","81.889","81.240","42.34K","0.51%"
"08/24/2020","81.316","82.170","82.232","81.248","35.59K","-1.05%"
"08/21/2020","82.176","82.669","82.765","81.966","49.92K","-0.56%"
"08/20/2020","82.640","81.773","82.687","81.685","43.03K","1.07%"
"08/19/2020","81.763","82.504","83.027","81.743","50.57K","-0.89%"
"08/18/2020","82.498","82.432","82.827","82.378","36.59K","0.09%"
"08/17/2020","82.425","82.379","82.584","82.246","34.21K","0.08%"
"08/14/2020","82.361","82.175","82.433","82.030","36.94K","0.18%"
"08/13/2020","82.210","82.004","82.394","81.864","52.89K","0.27%"
"08/12/2020","81.989","81.392","82.146","81.095","51.89K","0.78%"
"08/11/2020","81.354","81.772","81.922","81.290","38.84K","-0.47%"
"08/10/2020","81.736","82.219","82.269","81.582","33.35K","-0.55%"
"08/07/2020","82.187","82.326","82.389","81.894","42.68K","-0.16%"
"08/06/2020","82.315","82.326","82.656","82.026","49.26K","0.00%"
"08/05/2020","82.311","82.178","82.659","81.987","42.49K","0.16%"
"08/04/2020","82.176","81.927","82.218","81.732","64.92K","0.32%"
"08/03/2020","81.913","82.210","82.224","81.358","49.52K","-0.16%"
"07/31/2020","82.046","82.382","82.645","81.884","67.30K","-0.38%"
"07/30/2020","82.362","82.121","82.395","81.760","48.27K","0.34%"
"07/29/2020","82.080","81.595","82.212","81.311","47.01K","0.59%"
"07/28/2020","81.598","81.313","81.825","81.038","44.27K","0.39%"
"07/27/2020","81.285","81.190","81.605","80.955","42.82K","0.13%"
"07/24/2020","81.179","80.838","81.234","80.766","43.07K","0.45%"
"07/23/2020","80.815","80.243","80.925","80.191","44.67K","0.74%"
"07/22/2020","80.224","79.871","80.344","79.838","36.91K","0.47%"
"07/21/2020","79.848","79.615","79.958","79.408","37.82K","0.33%"
"07/20/2020","79.587","79.794","79.914","79.518","39.62K","-0.21%"
"07/17/2020","79.757","79.522","79.886","79.356","46.26K","0.34%"
"07/16/2020","79.486","79.531","79.694","79.424","42.52K","-0.06%"
"07/15/2020","79.534","80.254","80.390","79.423","42.79K","-0.83%"
"07/14/2020","80.197","79.868","80.405","79.793","42.53K","0.44%"
"07/13/2020","79.842","79.876","80.071","79.664","38.28K","-0.06%"
"07/10/2020","79.887","79.931","80.127","79.746","37.14K","-0.03%"
"07/09/2020","79.911","79.873","80.141","79.797","41.96K","0.08%"
"07/08/2020","79.851","79.374","79.989","79.329","34.83K","0.61%"
"07/07/2020","79.369","79.214","79.554","79.155","35.65K","0.21%"
"07/06/2020","79.200","78.880","79.509","78.863","33.09K","0.39%"
"07/03/2020","78.894","79.067","79.272","78.801","34.70K","-0.19%"
"07/02/2020","79.048","79.816","79.911","78.989","39.10K","-0.94%"
"07/01/2020","79.797","79.752","79.947","79.549","44.67K","0.08%"
"06/30/2020","79.734","79.380","79.845","79.212","43.85K","0.50%"
"06/29/2020","79.340","79.768","79.969","79.274","37.65K","-0.49%"
"06/26/2020","79.732","79.708","79.891","79.487","42.67K","0.05%"
"06/25/2020","79.689","79.820","79.900","79.538","46.08K","-0.13%"
"06/24/2020","79.791","79.926","80.271","79.743","44.74K","-0.09%"
"06/23/2020","79.866","79.981","80.178","79.692","50.45K","-0.09%"
"06/22/2020","79.937","80.076","80.198","79.854","39.74K","-0.15%"
"06/19/2020","80.061","80.302","80.362","79.942","44.69K","-0.28%"
"06/18/2020","80.284","80.415","80.432","80.056","51.62K","-0.15%"
"06/17/2020","80.405","80.171","80.437","79.982","51.23K","0.35%"
"06/16/2020","80.126","80.053","80.484","79.820","52.71K","0.14%"
"06/15/2020","80.011","79.842","80.173","79.650","54.46K","0.24%"
"06/12/2020","79.820","80.452","80.771","79.596","66.22K","-0.77%"
"06/11/2020","80.443","80.134","81.040","79.977","108.23K","0.58%"
"06/10/2020","79.978","79.412","80.311","79.286","53.46K","0.74%"
"06/09/2020","79.388","78.746","79.601","78.677","52.27K","0.86%"
"06/08/2020","78.709","78.488","78.978","78.311","52.75K","0.30%"
"06/05/2020","78.477","78.969","79.108","78.335","72.26K","-0.58%"
"06/04/2020","78.936","78.333","79.068","78.265","61.65K","0.76%"
"06/03/2020","78.342","78.050","78.483","77.957","61.96K","0.42%"
"06/02/2020","78.016","78.593","78.712","77.942","55.63K","-0.69%"
"06/01/2020","78.556","78.632","78.827","78.336","48.88K","-0.08%"
"05/29/2020","78.617","78.457","78.742","78.305","74.61K","0.22%"
"05/28/2020","78.443","78.401","78.587","78.008","73.54K","0.12%"
"05/27/2020","78.352","78.156","78.434","77.793","77.87K","0.32%"
"05/26/2020","78.103","78.065","78.260","77.879","38.46K","0.08%"
"05/25/2020","78.038","78.210","78.224","77.999","27.21K","-0.19%"
"05/22/2020","78.184","77.919","78.257","77.840","41.75K","0.37%"
"05/21/2020","77.892","78.296","78.473","77.822","40.87K","-0.48%"
"05/20/2020","78.266","77.868","78.435","77.828","44.46K","0.53%"
"05/19/2020","77.851","77.940","78.065","77.711","74.87K","-0.10%"
"05/18/2020","77.926","78.047","78.277","77.553","44.84K","-0.12%"
"05/15/2020","78.017","77.582","78.213","77.453","45.87K","0.61%"
"05/14/2020","77.543","77.528","77.893","77.398","50.52K","0.06%"
"05/13/2020","77.499","77.424","77.878","77.368","48.74K","0.16%"
"05/12/2020","77.379","77.979","78.046","77.383","57.22K","-0.72%"
"05/11/2020","77.941","77.799","78.121","77.595","41.32K","0.23%"
"05/08/2020","77.765","77.897","78.088","77.395","41.58K","-0.14%"
"05/07/2020","77.872","78.052","78.123","77.479","66.10K","-0.18%"
"05/06/2020","78.015","77.835","78.176","77.627","62.02K","0.28%"
"05/05/2020","77.798","78.383","78.410","77.775","43.55K","-0.70%"
"05/04/2020","78.349","78.799","78.824","78.271","44.78K","-0.54%"
"05/01/2020","78.771","77.747","79.005","77.642","43.16K","1.31%"
"04/30/2020","77.752","77.485","77.865","76.855","57.43K","0.36%"
"04/29/2020","77.474","77.995","78.229","77.235","46.29K","-0.65%"
"04/28/2020","77.978","78.147","78.336","77.793","46.18K","-0.19%"
"04/27/2020","78.125","78.266","78.492","78.026","43.36K","-0.29%"
"04/24/2020","78.352","77.753","78.434","77.578","72.07K","0.79%"
"04/23/2020","77.740","78.640","78.719","77.604","63.40K","-1.13%"
"04/22/2020","78.625","79.381","79.438","78.543","41.74K","-0.92%"
"04/21/2020","79.359","79.115","79.571","78.876","53.20K","0.34%"
"04/20/2020","79.093","79.146","79.270","78.908","42.19K","-0.04%"
"04/17/2020","79.127","79.148","79.390","78.506","79.14K","0.02%"
"04/16/2020","79.108","79.365","79.723","78.992","67.43K","-0.31%"
"04/15/2020","79.352","79.154","79.588","78.881","80.06K","0.26%"
"04/14/2020","79.144","78.818","79.316","78.737","70.20K","0.45%"
"04/13/2020","78.790","78.586","79.317","78.468","45.84K","0.36%"
"04/10/2020","78.507","78.961","79.006","78.453","60.81K","-0.57%"
"04/09/2020","78.956","78.132","79.092","78.040","92.13K","1.08%"
"04/08/2020","78.109","78.009","78.673","77.740","81.54K","0.16%"
"04/07/2020","77.983","77.629","78.113","77.561","66.55K","0.51%"
"04/06/2020","77.589","78.027","78.115","77.589","60.21K","-0.45%"
"04/03/2020","77.943","78.488","78.545","77.683","89.37K","-0.63%"
"04/02/2020","78.434","79.126","79.184","78.343","93.49K","-0.85%"
"04/01/2020","79.104","78.400","79.167","77.789","94.13K","0.93%"
"03/31/2020","78.374","78.684","78.771","77.818","128.21K","-0.34%"
"03/30/2020","78.638","78.946","79.427","78.396","78.52K","-0.85%"
"03/27/2020","79.316","77.727","79.402","77.379","104.48K","2.08%"
"03/26/2020","77.698","78.189","78.507","77.115","91.34K","-0.56%"
"03/25/2020","78.134","77.811","78.301","77.617","103.83K","0.46%"
"03/24/2020","77.777","77.525","78.400","77.246","115.67K","0.37%"
"03/23/2020","77.490","76.489","77.916","76.148","91.79K","1.42%"
"03/20/2020","76.403","75.849","76.874","75.591","112.34K","0.75%"
"03/19/2020","75.836","77.015","77.832","75.675","148.62K","-1.47%"
"03/18/2020","76.971","77.068","77.680","76.453","89.90K","-0.09%"
"03/17/2020","77.042","78.141","78.269","76.779","92.99K","-1.37%"
"03/16/2020","78.114","77.416","79.094","77.327","82.86K","0.51%"
"03/13/2020","77.717","78.992","79.046","77.148","117.66K","-1.57%"
"03/12/2020","78.954","78.473","79.707","77.702","104.99K","0.63%"
"03/11/2020","78.458","78.849","79.332","78.358","89.12K","-0.51%"
"03/10/2020","78.863","80.186","80.255","78.786","103.95K","-1.63%"
"03/09/2020","80.172","78.938","80.602","78.912","89.35K","1.58%"
"03/06/2020","78.926","77.760","79.421","77.637","82.43K","1.56%"
"03/05/2020","77.714","76.849","77.826","76.357","63.29K","1.16%"
"03/04/2020","76.826","76.396","77.063","76.165","71.96K","0.61%"
"03/03/2020","76.359","75.950","77.007","75.604","77.71K","0.53%"
"03/02/2020","75.954","75.073","76.264","74.619","75.37K","1.11%"
"02/28/2020","75.118","74.054","75.318","73.906","75.23K","1.46%"
"02/27/2020","74.034","73.273","74.105","73.246","60.84K","1.06%"
"02/26/2020","73.255","73.590","73.715","73.191","61.27K","-0.40%"
"02/25/2020","73.546","73.493","73.661","73.195","53.94K","0.12%"
"02/24/2020","73.455","73.482","73.674","73.177","47.29K","0.00%"
"02/21/2020","73.457","72.838","73.629","72.794","47.02K","0.87%"
"02/20/2020","72.821","72.772","73.041","72.673","54.70K","0.10%"
"02/19/2020","72.747","72.816","72.860","72.617","39.06K","-0.03%"
"02/18/2020","72.771","72.733","73.032","72.666","43.81K","0.09%"
"02/17/2020","72.709","72.907","72.907","72.562","33.02K","-0.14%"
"02/14/2020","72.808","72.838","73.025","72.694","44.22K","0.01%"
"02/13/2020","72.798","72.888","73.166","72.739","46.49K","-0.08%"
"02/12/2020","72.856","73.031","73.248","72.842","44.42K","-0.23%"
"02/11/2020","73.025","72.953","73.117","72.735","48.11K","0.13%"
"02/10/2020","72.928","73.169","73.258","72.874","46.95K","-0.25%"
"02/07/2020","73.108","73.104","73.433","73.013","42.15K","0.06%"
"02/06/2020","73.064","73.128","73.247","72.945","45.54K","-0.06%"
"02/05/2020","73.110","73.375","73.641","72.981","52.50K","-0.32%"
"02/04/2020","73.347","73.838","73.872","73.268","47.32K","-0.65%"
"02/03/2020","73.824","74.163","74.371","73.740","45.61K","-0.58%"
"01/31/2020","74.258","73.797","74.320","73.442","44.61K","0.65%"
"01/30/2020","73.775","73.277","73.957","73.210","48.22K","0.72%"
"01/29/2020","73.248","73.169","73.364","72.981","45.13K","0.13%"
"01/28/2020","73.150","73.687","73.762","73.104","46.12K","-0.70%"
"01/27/2020","73.665","73.423","73.812","73.407","41.18K","0.33%"
"01/24/2020","73.420","73.696","73.722","73.370","35.93K","-0.33%"
"01/23/2020","73.666","73.438","73.815","73.384","38.92K","0.35%"
"01/22/2020","73.412","73.474","73.503","73.174","38.03K","-0.05%"
"01/21/2020","73.452","73.343","73.690","73.313","36.67K","0.13%"
"01/20/2020","73.355","73.437","73.497","73.228","27.59K","-0.05%"
"01/17/2020","73.395","73.578","73.674","73.309","36.45K","-0.20%"
"01/16/2020","73.542","73.350","73.810","73.304","38.10K","0.28%"
"01/15/2020","73.335","73.238","73.468","73.160","38.06K","0.18%"
"01/14/2020","73.205","72.826","73.323","72.785","40.04K","0.55%"
"01/13/2020","72.804","72.884","73.029","72.697","41.53K","-0.19%"
"01/10/2020","72.941","73.171","73.229","72.576","37.45K","-0.27%"
"01/09/2020","73.138","73.426","73.491","73.070","46.02K","-0.37%"
"01/08/2020","73.407","74.063","74.393","73.408","53.30K","-0.83%"
"01/07/2020","74.024","74.228","74.258","73.856","39.18K","-0.26%"
"01/06/2020","74.217","73.845","74.396","73.838","37.67K","0.59%"
"01/03/2020","73.782","73.451","73.980","73.417","40.47K","0.47%"
"01/02/2020","73.440","73.582","73.685","73.303","34.13K","-0.18%"
"01/01/2020","73.569","73.710","73.763","73.544","1.26K","-0.17%"
